Disease,Symptoms,Medicine,Brand Name,Dosage,Price (INR)
Diabetes,"Frequent urination, excessive thirst, fatigue",Metformin,Glycomet,500mg,50
Diabetes,"Frequent urination, excessive thirst, fatigue",Insulin,Humulin,100IU/ml,300
Hypertension,"Headache, dizziness, blurred vision",Amlodipine,Amlovas,5mg,30
Hypertension,"Headache, dizziness, blurred vision",Lisinopril,Zestril,10mg,40
Asthma,"Shortness of breath, wheezing, chest tightness",Salbutamol,Asthalin,2mg,20
Asthma,"Shortness of breath, wheezing, chest tightness",Montelukast,Montair,10mg,100
Malaria,"Fever, chills, sweating, nausea",Artemether-Lumefantrine,Coartem,20mg/120mg,200
Malaria,"Fever, chills, sweating, nausea",Chloroquine,Resochin,250mg,150
Tuberculosis,"Cough, weight loss, night sweats, fever",Rifampin,Rifadin,450mg,250
Tuberculosis,"Cough, weight loss, night sweats, fever",Isoniazid,Isonex,300mg,100
Dengue,"High fever, severe headache, joint pain",Paracetamol,Crocin,500mg,15
Dengue,"High fever, severe headache, joint pain",IV fluids,Normal Saline,500ml,50
Typhoid,"Prolonged fever, abdominal pain, loss of appetite",Ceftriaxone,Cefaxone,1g,200
Typhoid,"Prolonged fever, abdominal pain, loss of appetite",Azithromycin,Azee,500mg,100
COVID-19,"Fever, cough, loss of taste and smell",Paracetamol,Crocin,500mg,15
COVID-19,"Fever, cough, loss of taste and smell",Remdesivir,Covifor,100mg,5000
Influenza,"Fever, chills, muscle aches, sore throat",Oseltamivir,Tamiflu,75mg,300
Influenza,"Fever, chills, muscle aches, sore throat",Zanamivir,Relenza,5mg,400
Migraine,"Severe headache, nausea, sensitivity to light",Sumatriptan,Suminat,50mg,200
Migraine,"Severe headache, nausea, sensitivity to light",Ibuprofen,Brufen,400mg,30
Arthritis,"Joint pain, stiffness, swelling",Ibuprofen,Brufen,400mg,30
Arthritis,"Joint pain, stiffness, swelling",Naproxen,Naprosyn,500mg,50
